s,station
0,Füzesabony
12,Kál-Kápolna
38,Vámosgyörk
58,Hatvan
66,Tura
74,Aszód
76,Bag
86,Máriabesnyő
89,Gödöllő
92,Gödöllő-Állami telepek
95,Isaszeg
104,Pécel
108,Rákoscsaba
109,Rákoscsaba-Újtelep
110,Rákosliget
117,Rákos
120,Kőbánya felső
125,Budapest-Keleti
