s,station
0,Örs Vezér Tere
0.85,Rákosfalva
2.23,Nagyicce
3.08,Sashalom
4.2,"Mátyásföld, Repülőtér"
4.473,"Mátyásföld, Imre utca"
5.36,Mátyásföld alsó
6.3,Cinkota
7.2,Ilonatelep
9.2,Kavicsbánya
10.2,"Kistarcsa, kórház"
12.4,Kistarcsa
15,Zsófialiget
15.5,Kerepes
17.4,Szilasliget
18.6,Hungaroring
20.7,Mogyoród
22.2,Szentjakab
25.8,Ganz forgalmi kitérő
26.1,"Gödöllő, Erzsébet Park"
26.9,"Gödöllő, Szabadság Tér"
27.7,Gödöllő
