Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,42,46,11,18.835157,47.118526,100.7,34.53,90
2021,11,28,12,42,46,11,18.835129,47.118549,100.7,34.53,90
2021,11,28,12,42,46,11,18.835100,47.118572,100.6,34.53,90
2021,11,28,12,42,46,11,18.835072,47.118595,100.6,34.53,90
2021,11,28,12,42,46,11,18.835043,47.118622,100.6,34.53,90
2021,11,28,12,42,46,11,18.835014,47.118645,100.6,34.53,90
2021,11,28,12,42,46,11,18.834988,47.118671,100.6,34.53,90
2021,11,28,12,42,46,11,18.834959,47.118694,100.6,34.53,90
2021,11,28,12,42,46,11,18.834929,47.118717,100.6,34.53,90
2021,11,28,12,42,46,11,18.834900,47.118740,100.6,34.53,90
2021,11,28,12,42,47,11,18.834871,47.118767,100.6,34.53,90
2021,11,28,12,42,47,11,18.834843,47.118790,100.6,34.53,90
2021,11,28,12,42,47,11,18.834814,47.118813,100.6,34.53,90
2021,11,28,12,42,47,11,18.834785,47.118839,100.6,34.53,90
2021,11,28,12,42,47,11,18.834757,47.118862,100.6,34.53,90
2021,11,28,12,42,47,11,18.834728,47.118885,100.6,34.53,90
2021,11,28,12,42,47,11,18.834698,47.118912,100.6,34.53,90
2021,11,28,12,42,47,11,18.834669,47.118935,100.6,34.53,90
2021,11,28,12,42,47,11,18.834642,47.118958,100.6,34.53,90
2021,11,28,12,42,47,11,18.834612,47.118980,100.7,34.53,90
2021,11,28,12,42,48,11,18.834583,47.119003,100.7,34.53,90
2021,11,28,12,42,48,11,18.834553,47.119030,100.7,34.53,90
2021,11,28,12,42,48,11,18.834524,47.119053,100.7,34.53,90
2021,11,28,12,42,48,11,18.834496,47.119076,100.7,34.53,90
2021,11,28,12,42,48,11,18.834465,47.119099,100.7,34.53,90
2021,11,28,12,42,48,11,18.834436,47.119122,100.7,34.53,90
2021,11,28,12,42,48,11,18.834406,47.119148,100.7,34.53,90
2021,11,28,12,42,48,11,18.834379,47.119171,100.7,34.53,90
2021,11,28,12,42,48,11,18.834349,47.119194,100.7,34.53,90
2021,11,28,12,42,48,11,18.834318,47.119217,100.7,34.53,90
2021,11,28,12,42,49,11,18.834290,47.119240,100.7,34.53,90
2021,11,28,12,42,49,11,18.834259,47.119267,100.6,34.53,90
2021,11,28,12,42,49,11,18.834230,47.119289,100.6,34.53,90
2021,11,28,12,42,49,11,18.834202,47.119312,100.6,34.53,90
