Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,15,46,9,18.964676,47.387024,102.5,18.41,104
2021,11,28,12,15,46,9,18.964651,47.387024,102.6,18.41,104
2021,11,28,12,15,46,9,18.964628,47.387020,102.6,18.41,104
2021,11,28,12,15,46,9,18.964605,47.387020,102.6,18.41,104
2021,11,28,12,15,46,9,18.964581,47.387020,102.7,18.41,104
2021,11,28,12,15,46,9,18.964558,47.387020,102.7,18.41,104
2021,11,28,12,15,46,9,18.964531,47.387016,102.8,18.41,104
2021,11,28,12,15,46,9,18.964508,47.387016,102.8,18.41,104
2021,11,28,12,15,46,9,18.964485,47.387012,102.8,18.41,104
2021,11,28,12,15,47,9,18.964460,47.387012,102.9,18.41,104
2021,11,28,12,15,47,9,18.964437,47.387012,102.9,18.41,104
2021,11,28,12,15,47,9,18.964411,47.387009,103.0,18.41,104
2021,11,28,12,15,47,9,18.964388,47.387009,103.0,18.41,104
2021,11,28,12,15,47,9,18.964363,47.387005,103.1,18.41,104
2021,11,28,12,15,47,9,18.964340,47.387005,103.1,18.41,104
2021,11,28,12,15,47,9,18.964317,47.387005,103.1,18.41,104
2021,11,28,12,15,47,9,18.964293,47.387001,103.2,18.41,104
2021,11,28,12,15,47,9,18.964268,47.387001,103.2,18.41,104
2021,11,28,12,15,47,9,18.964245,47.386997,103.3,18.41,104
2021,11,28,12,15,48,9,18.964220,47.386997,103.3,18.41,104
2021,11,28,12,15,48,9,18.964197,47.386997,103.4,18.41,104
2021,11,28,12,15,48,9,18.964172,47.386993,103.4,18.41,104
2021,11,28,12,15,48,9,18.964148,47.386993,103.5,18.41,104
2021,11,28,12,15,48,9,18.964125,47.386993,103.5,18.41,104
2021,11,28,12,15,48,9,18.964102,47.386990,103.6,18.41,104
2021,11,28,12,15,48,9,18.964077,47.386990,103.6,18.41,104
2021,11,28,12,15,48,9,18.964054,47.386990,103.7,18.41,104
2021,11,28,12,15,48,9,18.964027,47.386986,103.7,18.41,104
2021,11,28,12,15,48,9,18.964005,47.386986,103.8,18.41,104
2021,11,28,12,15,49,9,18.963982,47.386982,103.8,18.41,104
2021,11,28,12,15,49,9,18.963957,47.386982,103.9,18.41,104
2021,11,28,12,15,49,9,18.963934,47.386978,103.9,18.41,104
2021,11,28,12,15,49,9,18.963909,47.386978,104.0,18.41,104
2021,11,28,12,15,49,9,18.963884,47.386978,104.0,18.41,104
2021,11,28,12,15,49,9,18.963861,47.386974,104.1,18.41,104
2021,11,28,12,15,49,9,18.963837,47.386974,104.1,18.41,104
