Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt1,Alt2,hAcc,vAcc,speed,speedAcc,PDOP
2021,10,17,15,31,12,9,204141230,477510720,146347.91,108067.93,3354,5641,69,428,187
2021,10,17,15,31,12,9,204141230,477510720,146437.91,108157.93,3363,5657,104,450,187
2021,10,17,15,31,12,9,204141230,477510720,146392.91,108112.93,3373,5672,114,512,187
2021,10,17,15,31,12,9,204141230,477510720,146320.91,108040.93,3383,5677,133,559,187
2021,10,17,15,31,12,9,204141230,477510720,146353.91,108073.93,3394,5686,127,517,187
2021,10,17,15,31,13,9,204141230,477510720,146343.91,108063.93,3404,5695,208,514,187
2021,10,17,15,31,13,9,204141230,477510690,146299.91,108019.93,3414,5703,84,512,187
2021,10,17,15,31,13,9,204141230,477510690,146320.91,108040.93,3427,5712,96,526,187
2021,10,17,15,31,13,9,204141230,477510690,146362.91,108082.93,3444,5722,21,519,187
2021,10,17,15,31,13,9,204141230,477510690,146422.91,108142.93,3462,5731,76,561,187
2021,10,17,15,31,14,9,204141250,477510690,146470.91,108190.93,3478,5740,103,656,187
2021,10,17,15,31,14,9,204141250,477510690,146535.91,108255.93,3496,5753,86,543,187
2021,10,17,15,31,14,9,204141230,477510690,146625.91,108345.93,3514,5761,91,676,187
2021,10,17,15,31,14,9,204141250,477510690,146655.91,108375.93,3529,5767,76,623,187
2021,10,17,15,31,14,9,204141250,477510690,146633.91,108353.93,3530,5763,24,580,187
2021,10,17,15,31,15,9,204141230,477510690,146741.91,108461.93,3534,5761,119,555,187
2021,10,17,15,31,15,9,204141230,477510690,146706.91,108427.93,3544,5760,153,559,187
2021,10,17,15,31,15,9,204141250,477510660,146707.91,108427.93,3559,5762,420,670,187
2021,10,17,15,31,15,9,204141250,477510690,146648.91,108368.93,3581,5766,262,673,187
2021,10,17,15,31,15,9,204141250,477510690,146587.91,108307.93,3602,5770,78,618,187
2021,10,17,15,31,16,9,204141250,477510690,146739.91,108459.93,3628,5778,57,739,187
2021,10,17,15,31,16,9,204141250,477510690,146739.91,108459.93,3654,5787,23,631,187
2021,10,17,15,31,16,9,204141230,477510690,146669.91,108389.93,3680,5796,79,775,187
2021,10,17,15,31,16,9,204141250,477510690,146678.91,108398.93,3707,5807,26,634,187
2021,10,17,15,31,16,9,204141250,477510690,146596.91,108316.93,3735,5816,115,728,187
2021,10,17,15,31,17,9,204141260,477510690,146545.91,108265.93,3764,5830,328,735,187
2021,10,17,15,31,17,9,204141280,477510690,146514.91,108234.93,3797,5845,308,744,187
2021,10,17,15,31,17,9,204141280,477510690,146629.91,108349.93,3825,5857,271,640,187
2021,10,17,15,31,17,9,204141280,477510690,146592.91,108312.93,3855,5870,162,601,187
2021,10,17,15,31,17,9,204141260,477510690,146485.91,108205.93,3883,5883,61,435,187
2021,10,17,15,31,18,9,204141260,477510690,146343.91,108063.93,3910,5896,63,474,187
2021,10,17,15,31,18,9,204141250,477510690,146310.91,108030.93,3945,5912,151,739,187
2021,10,17,15,31,18,9,204141250,477510690,146383.91,108103.93,3983,5927,75,691,187
2021,10,17,15,31,18,9,204141250,477510690,146397.91,108117.93,4011,5940,248,733,187
