s,station
0.2,Cinkota
1.5,Ilonatelep
3.7,"Kistarcsa, kórház"
4.8,Kistarcsa
5.2,Zsófialiget
6.1,Kerepes
8,Szilasliget
11.2,Mogyoród
12.9,Szentjakab
17.2,"Gödöllő, Erzsébet Park"
17.8,"Gödöllő, Szabadság Tér"
19,Gödöllő
